Radio Station,Gender,age,education background,income,job type,lifestyle
classic rock,male,21,high school diploma,27k,blue collar,hippie
politics,male,44,master degree,120k,technician,Simple living
classic 60s/70s,male,75,bachelor degree,81k,retired,Empty nesters
top 40,female,23,bachelor degree,25k,student,activism
pop music,female,38,college degree,44k,management,Quirkyalone
religion,female,38,doctoral degree,98k,expert,Asceticism
soft music,female,80,bachelor degree,71k,retired,Vegetarianism
jazz,female,30,master degree,44k,admin,Rural lifestyle
talk shows,male,32,bachelor degree,55k,sales,traditional
sports,male,39,high school diploma,54k,blue collar,Communality living